iso3,country,year,pop65_pct,pop65_total,nurses_per_1000,pop_total,gdp_pc_usd,nurse_total_est,elderly_per_nurse_est
CHN,China,1990,5.34515741412924,60677425,0.845,1135185000,318.50335359039,959231.325,63.25630055920036
CHN,China,1991,5.45270392331688,62748626,,1150780000,334.130288119078,,
CHN,China,1992,5.57661794733089,64965926,,1164970000,367.822651903542,,
CHN,China,1993,5.72652985467844,67483718,,1178440000,378.939353053314,,
CHN,China,1994,5.88533298268521,70143458,,1191835000,475.677874448369,,
CHN,China,1995,6.05307366965255,72930761,0.923,1204855000,612.680277898627,1112081.165,65.58043000395568
CHN,China,1996,6.22504804870163,75793073,0.945,1217550000,713.337387811657,1150584.75,65.87352474470046
CHN,China,1997,6.4010690329891,78737950,0.965,1230075000,786.743548510999,1187022.375,66.33232166327109
CHN,China,1998,6.60294649523664,82004304,0.974,1241935000,835.095348597432,1209644.69,67.79205884002187
CHN,China,1999,6.8145142714138,85367805,0.988,1252735000,881.146614068925,1237702.18,68.97281622304325
CHN,China,2000,7.01747574076251,88605807,0.998,1262645000,969.199513696287,1260119.71,70.31538852765028
CHN,China,2001,7.21351682273765,91745114,1.006,1271850000,1065.40597574519,1279481.1,71.70493882246483
CHN,China,2002,7.40162875834336,94770455,0.969,1280400000,1163.55957673426,1240707.6,76.38419801732495
CHN,China,2003,7.57962663220469,97655910,0.978,1288400000,1306.97245408557,1260055.2,77.50129518135397
CHN,China,2004,7.73725110121901,100280577,1.005,1296075000,1530.92726215723,1302555.3749999998,76.98757298514086
CHN,China,2005,7.88962840533466,102858663,1.03,1303720000,1777.64496828464,1342831.6,76.59833370021974
CHN,China,2006,8.05386346846253,105587761,1.082,1311020000,2129.25696999613,1418523.64,74.43496747082763
CHN,China,2007,8.21258625792709,108232442,1.176,1317885000,2734.72709877693,1549832.76,69.83491689774321
CHN,China,2008,8.35535290441098,110679600,1.258,1324655000,3523.44302065213,1666415.99,66.41774962805056
CHN,China,2009,8.49817888668038,113132856,1.382,1331260000,3898.24459158811,1839801.3199999998,61.49188761316902
CHN,China,2010,8.66147143784386,115864936,1.515,1337705000,4629.24551710077,2026623.0749999997,57.171428387096604
CHN,China,2011,8.85916872860311,119158920,1.65,1345035000,5703.76027973346,2219307.75,53.69193163949434
CHN,China,2012,9.08920186808881,123085063,1.823,1354190000,6405.0574241349,2468688.37,49.858485378614226
CHN,China,2013,9.3562686156071,127548396,2.018,1363240000,7147.03518622344,2751018.3199999994,46.36406637960885
CHN,China,2014,9.6661987378912,132606714,2.164,1371860000,7781.06597484974,2968705.04,44.668201189835955
CHN,China,2015,10.053420914992,138723134,2.322,1379860000,8175.33285077393,3204034.92,43.296386420157994
CHN,China,2016,10.4907994645602,145590266,2.498,1387790000,8254.86859320357,3466699.4200000004,41.996795326431844
CHN,China,2017,10.9809606634325,153317820,2.693,1396215000,8979.67652709856,3760006.995,40.77594009901569
CHN,China,2018,11.5162092042497,161544776,2.888,1402760000,10085.6638148819,4051170.88,39.87607059418831
CHN,China,2019,12.0613659717192,169793276,3.123,1407745000,10342.9009524335,4396387.635,38.62108851554897
CHN,China,2020,12.6452376078587,178436948,3.302,1411100000,10627.4637989619,4659452.2,38.29569235628171
CHN,China,2021,13.2057410345267,186512604,3.519,1412360000,12887.4357242941,4970094.84,37.526970813297396
CHN,China,2022,13.781930345649,194624975,3.666,1412175000,12970.6056414327,5177033.55,37.59391804598214
CHN,China,2023,14.3160774690688,201958336,,1410710000,12951.1782397043,,
CHN,China,2024,14.665268836569,206629972,,1408975000,13303.1481543868,,
JPN,Japan,1990,12.1592371434388,15013983,6.3729,123478000,25801.3950393094,786912.9461999999,19.07959841365233
JPN,Japan,1991,12.6426627429561,15672350,,123964000,29428.4289039469,,
JPN,Japan,1992,13.14609994239,16357035,6.7448,124425000,31992.7902119161,839221.74,19.490718865314427
JPN,Japan,1993,13.6451471731511,17033101,,124829000,36345.2441262708,,
JPN,Japan,1994,14.1471706843512,17709145,7.2509,125178000,39933.5150564874,907653.1601999999,19.510916478380153
JPN,Japan,1995,14.6600917550368,18394310,,125472000,44197.6191013908,,
JPN,Japan,1996,15.2014638551928,19116905,7.7699,125757000,39150.0396308089,977119.3143,19.564555443973788
JPN,Japan,1997,15.7647990694307,19872633,,126057000,35638.2319556941,,
JPN,Japan,1998,16.31972118413,20628128,8.2161,126400000,32423.7556133801,1038515.0400000002,19.86309991235177
JPN,Japan,1999,16.8685596811724,21360826,,126631000,36610.1683163197,,
JPN,Japan,2000,17.4418311728625,22123742,8.6546,126843000,39169.3595701504,1097775.4278,20.153249416720094
JPN,Japan,2001,18.0343083523681,22930443,,127149000,34406.1824638092,,
JPN,Japan,2002,18.5996931174384,23704379,8.6,127445000,32820.7936433254,1096027.0,21.627550233707748
JPN,Japan,2003,19.094589199668,24387227,,127718000,35387.0374203599,,
JPN,Japan,2004,19.6215781629582,25068724,8.961,127761000,38298.9801712303,1144866.321,21.896638533399567
JPN,Japan,2005,20.2818997821341,25914792,,127773000,37812.8950199948,,
JPN,Japan,2006,20.9784589313141,26821799,9.313,127854000,35991.546002862,1190704.302,22.525994871227066
JPN,Japan,2007,21.6266998258271,27682392,,128001000,35779.0245416427,,
JPN,Japan,2008,22.2533796508458,28498346,9.769,128063000,39876.3039685725,1251047.447,22.779588470716092
JPN,Japan,2009,22.7624685083393,29146658,,128047000,41308.9968370512,,
JPN,Japan,2010,23.0980258847984,29581642,10.3,128070000,44968.1562349739,1319121.0,22.425268038337652
JPN,Japan,2011,23.6527395093536,30236006,,127833000,48760.0789494211,,
JPN,Japan,2012,24.5126783338024,31285286,10.73,127629000,49145.2804308193,1369459.17,22.844993618904315
JPN,Japan,2013,25.4120635790966,32386404,,127445000,40898.6478964744,,
JPN,Japan,2014,26.2261883365166,33379643,11.18,127276000,38475.3952461838,1422945.68,23.45812877410753
JPN,Japan,2015,26.9230034152781,34230176,,127141000,34960.6393843385,,
JPN,Japan,2016,27.5120281384821,34961185,11.57,127076000,39375.4731620781,1470269.32,23.77876251950901
JPN,Japan,2017,27.9778213758677,35523999,,126972000,38834.0529341227,,
JPN,Japan,2018,28.3452163347643,35944852,11.98,126811000,39751.1330982711,1519195.78,23.660447503349435
JPN,Japan,2019,28.6287707536412,36253471,,126633000,40415.9567649547,,
JPN,Japan,2020,28.9181743842737,36512376,12.35,126261000,40028.7341726762,1559323.35,23.41552571504813
JPN,Japan,2021,29.2169970691602,36720387,,125681593,40094.5599795288,,
JPN,Japan,2022,29.4026473056942,36790059,12.98,125124989,34065.6438962526,1624122.3572200001,22.65227052410836
JPN,Japan,2023,29.5618100807812,36809376,,124516650,33836.1756271617,,
JPN,Japan,2024,29.7807703973917,36920821,,123975371,32487.0778047567,,
KOR,"Korea, Rep.",1990,4.88530804594869,2094297,,42869283,6812.9019416767,,
KOR,"Korea, Rep.",1991,5.02804171546935,2176926,,43295704,7872.65052449111,,
KOR,"Korea, Rep.",1992,5.19222765327707,2271494,,43747962,8387.16308258471,,
KOR,"Korea, Rep.",1993,5.36546701906146,2371248,,44194628,9179.96872485152,,
KOR,"Korea, Rep.",1994,5.56146079309115,2482722,1.093,44641540,10733.9888860657,48793.203219999996,50.8825376519316
KOR,"Korea, Rep.",1995,5.76406712637625,2599190,1.139,45092991,13001.7205867019,51360.916748999996,50.60637863420938
KOR,"Korea, Rep.",1996,5.96918301758357,2717452,1.196,45524681,13864.9376534518,54447.518476,49.90956568934964
KOR,"Korea, Rep.",1997,6.20969871131759,2853579,2.736,45953580,12821.6893313675,125728.99488000001,22.696268292954635
KOR,"Korea, Rep.",1998,6.47059965496004,2995014,2.778,46286503,8583.43557499234,128583.90533400001,23.29229301459132
KOR,"Korea, Rep.",1999,6.75830024883881,3150495,2.923,46616677,11062.5019301357,136260.546871,23.1211093184781
KOR,"Korea, Rep.",2000,7.091050395922,3333369,3.0,47008111,12710.2995795579,141024.333,23.6368357792552
KOR,"Korea, Rep.",2001,7.44493688262949,3526679,3.404,47370164,11981.4828218758,161248.03825599997,21.87114360052547
KOR,"Korea, Rep.",2002,7.81606605137616,3723944,3.639,47644736,13642.9424537101,173379.194304,21.478609443013692
KOR,"Korea, Rep.",2003,8.20122350683224,3927757,3.598,47892330,15211.5483770422,172316.60334,22.793839501641607
KOR,"Korea, Rep.",2004,8.60086379929101,4135512,3.858,48082519,17121.6301633201,185502.358302,22.29358180593768
KOR,"Korea, Rep.",2005,9.00039400945138,4336800,3.899,48184561,20167.0474902506,187871.603339,23.083850475127818
KOR,"Korea, Rep.",2006,9.42057086311249,4563164,4.043,48438292,22609.7059431449,195836.01455599998,23.300943957349315
KOR,"Korea, Rep.",2007,9.85710348983429,4798797,4.21,48683638,25078.4853957105,204958.11598,23.413549529642783
KOR,"Korea, Rep.",2008,10.248148061523,5027199,4.413,49054708,22252.3125108061,216478.42640400003,23.222632774584454
KOR,"Korea, Rep.",2009,10.6131373147372,5233108,4.552,49307835,19937.3029137734,224449.26492,23.315326970953667
KOR,"Korea, Rep.",2010,10.9916944218993,5446837,4.712,49554112,24071.2620526362,233498.975744,23.327027378362974
KOR,"Korea, Rep.",2011,11.3503836185426,5668000,4.81,49936638,26175.2398553363,240195.22877999998,23.59747122700528
KOR,"Korea, Rep.",2012,11.7033965983522,5875088,4.907,50199853,26600.5477433903,246330.678671,23.85041129142824
KOR,"Korea, Rep.",2013,12.0971432569738,6100455,5.255,50428893,28449.3591104972,265003.832715,23.02025196201887
KOR,"Korea, Rep.",2014,12.5254091857732,6356227,5.617,50746659,30667.0912467447,285043.983603,22.29910949059969
KOR,"Korea, Rep.",2015,12.954685714924,6608826,5.966,51014947,30171.7906545222,304355.173802,21.7141897653411
KOR,"Korea, Rep.",2016,13.3631038531662,6844288,6.98,51217803,30832.0628072516,357500.26494,19.14484735038921
KOR,"Korea, Rep.",2017,13.8737462057967,7125821,7.094,51361911,33296.9845439195,364361.396634,19.557014178310077
KOR,"Korea, Rep.",2018,14.4543760222277,7456298,7.396,51585058,35363.9508228687,381523.08896799997,19.543503959796762
KOR,"Korea, Rep.",2019,15.0634884441589,7797588,8.093,51764822,33826.9443301597,418932.704446,18.6129846565968
KOR,"Korea, Rep.",2020,15.822165945989,8201616,8.527,51836239,33645.7719545073,442007.609953,18.555372838200913
KOR,"Korea, Rep.",2021,16.6596412164908,8624619,8.912,51769539,37518.4635305697,461370.131568,18.693492295846294
KOR,"Korea, Rep.",2022,17.4846463366305,9034766,9.086,51672569,34822.4048404971,469496.961934,19.243502583665432
KOR,"Korea, Rep.",2023,18.3350235838597,9481521,,51712619,35674.095995632,,
KOR,"Korea, Rep.",2024,19.2735131316057,9974248,,51751065,36238.639908315,,
